SKU (Item),Name,Category,Width (cm),Length (cm),Height (cm),Net Weight (kg),Gross Weight (kg),CBM,Product Type,Stacking Limit,Side Box Weight,Box_42x46x68_Layers,Box_42x46x68_PerLayer,Box_42x46x68_Total,Box_47x66x68_Layers,Box_47x66x68_PerLayer,Box_47x66x68_Total,Box_57x64x84_Layers,Box_57x64x84_PerLayer,Box_57x64x84_Total,Box_68x74x86_Layers,Box_68x74x86_PerLayer,Box_68x74x86_Total,Box_70x100x90_Layers,Box_70x100x90_PerLayer,Box_70x100x90_Total,Pallet_80x120x65_Layers,Pallet_80x120x65_PerLayer,Pallet_80x120x65_Total,Pallet_80x120x90_Layers,Pallet_80x120x90_PerLayer,Pallet_80x120x90_Total,Pallet_80x120x115_Layers,Pallet_80x120x115_PerLayer,Pallet_80x120x115_Total,Pallet_110x110x65_Layers,Pallet_110x110x65_PerLayer,Pallet_110x110x65_Total,Pallet_110x110x90_Layers,Pallet_110x110x90_PerLayer,Pallet_110x110x90_Total,Pallet_110x110x115_Layers,Pallet_110x110x115_PerLayer,Pallet_110x110x115_Total,RTN_Layers,RTN_PerLayer,RTN_Total,Warp_Required
EQ7-2020-C,Inverter-EQ7-2020-C,Inverters,31,37,34,8.1420,8.1420,0.039,Carton,,8.1,,,1,,,2,,,4,,,6,,,10,,,,,,12,,,,,,,,,,,,,,,,FALSE
EQ7-2025-C,Inverter-EQ7-2025-C,Inverters,35,50,33,13.7950,13.7950,0.058,Carton,,11.3,,,,,,1,,,2,,,4,,,6,,,,,,,,,12,,,,,,12,,,18,,,12,FALSE
EQ7-2030-C,Inverter-EQ7-2030-C,Inverters,35,50,33,13.7430,13.7430,0.058,Carton,,11.3,,,,,,1,,,2,,,4,,,6,,,,,,,,,12,,,,,,12,,,18,,,12,FALSE
EQ7-2040-C,Inverter-EQ7-2040-C,Inverters,35,50,33,14.3480,14.3480,0.058,Carton,,11.7,,,,,,1,,,2,,,4,,,6,,,,,,,,,12,,,,,,12,,,18,,,12,FALSE
EQ7-2050-C,Inverter-EQ7-2050-C,Inverters,49,80,53,36.0000,40.0000,0.208,Carton Case,2,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-2060-C,Inverter-EQ7-2060-C,Inverters,49,80,53,43.0000,45.0000,0.208,Carton Case,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-2075-C,Inverter-EQ7-2075-C,Inverters,50,87,46,53.0000,55.0000,0.200,Carton Case,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-2100-C,Inverter-EQ7-2100-C,Inverters,53,130,53,72.0000,75.0000,0.365,Carton Case,2,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-2125-C,Inverter-EQ7-2125-C,Inverters,68,131,60,89.0000,106.0000,0.534,Carton Case,,104.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-2150-C,Inverter-EQ7-2150-C,Inverters,85,155,60,148.0000,158.0000,0.791,Carton Case,,162.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4001-C,Inverter-EQ7-4001-C,Inverters,19,31.5,23,3.2380,3.2380,0.014,Carton,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
EQ7-4002-C,Inverter-EQ7-4002-C,Inverters,23.5,33,23.5,4.1470,4.1470,0.018,Carton,,3.3,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
EQ7-4003-C,Inverter-EQ7-4003-C,Inverters,23.5,33,23.5,4.1750,4.1750,0.018,Carton,,4,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
EQ7-4005-C,Inverter-EQ7-4005-C,Inverters,23.5,33,23.5,4.4850,4.4850,0.018,Carton,,,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
EQ7-4007-C,Inverter-EQ7-4007-C,Inverters,31,37,34,8.5880,8.5880,0.039,Carton,,7.2,,,1,,,2,,,4,,,6,,,10,,,,,,12,,,,,,,,,,,,,,,,FALSE
EQ7-4010-C,Inverter-EQ7-4010-C,Inverters,31,37,34,8.5650,8.5650,0.039,Carton,,7.2,,,1,,,2,,,4,,,6,,,10,,,,,,12,,,,,,,,,,,,,,,,FALSE
EQ7-4015-C,Inverter-EQ7-4015-C,Inverters,31,37,34,8.6930,8.6930,0.039,Carton,5,7.2,,,1,,,2,,,4,,,6,,,10,,,,,,12,,,,,,,,,,,,,,,,FALSE
EQ7-4020-C,Inverter-EQ7-4020-C,Inverters,31,37,34,8.0210,8.0210,0.039,Carton,,,,,1,,,2,,,4,,,6,,,10,,,,,,12,,,,,,,,,,,,,,,,FALSE
EQ7-4025-C,Inverter-EQ7-4025-C,Inverters,35,50,33,13.1700,13.1700,0.058,Carton,,11.3,,,,,,1,,,2,,,4,,,6,,,,,,,,,12,,,,,,12,,,18,,,12,FALSE
EQ7-4030-C,Inverter-EQ7-4030-C,Inverters,35,50,33,13.2850,13.2850,0.058,Carton,,,,,,,,1,,,2,,,4,,,6,,,,,,,,,12,,,,,,12,,,18,,,12,FALSE
EQ7-4040-C,Inverter-EQ7-4040-C,Inverters,35,50,33,13.4830,13.4830,0.058,Carton,,11.3,,,,,,1,,,2,,,4,,,6,,,,,,,,,12,,,,,,12,,,18,,,12,FALSE
EQ7-4050-C,Inverter-EQ7-4050-C,Inverters,49,80,53,32.0000,40.0000,0.208,Carton Case,3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4060-C,Inverter-EQ7-4060-C,Inverters,49,80,53,32.0000,40.0000,0.208,Carton Case,2,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4075-C,Inverter-EQ7-4075-C,Inverters,49,80,53,39.0000,43.0000,0.208,Carton Case,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-40P5-C,Inverter-EQ7-40P5-C,Inverters,,,,No Data,No Data,0.000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
EQ7-41000-C,Inverter-EQ7-41000-C,Inverters,129,230,89,836.0000,923.0000,2.641,Wooden Case,wooden case,881.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4100-C,Inverter-EQ7-4100-C,Inverters,53,130,53,63.0000,66.0000,0.365,Carton Case,2,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4125-C,Inverter-EQ7-4125-C,Inverters,53,130,53,74.0000,76.0000,0.365,Carton Case,2,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4150-C,Inverter-EQ7-4150-C,Inverters,68,131,60,106.0000,109.0000,0.534,Carton Case,2,106.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4200-C,Inverter-EQ7-4200-C,Inverters,68,131,60,99.0000,111.0000,0.534,Carton Case,2,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4250-C,Inverter-EQ7-4250-C,Inverters,75,155,60,130.0000,154.0000,0.698,Carton Case,2,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4300-C,Inverter-EQ7-4300-C,Inverters,75,155,60,137.0000,160.0000,0.698,Carton Case,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4350-C,Inverter-EQ7-4350-C,Inverters,85,155,60,182.0000,203.0000,0.791,Carton Case,,194.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4450-C,Inverter-EQ7-4450-C,Inverters,85,155,60,175.0000,215.0000,0.791,Carton Case,2,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4500-C,Inverter-EQ7-4500-C,Inverters,96,219,83,263.0000,450.0000,1.745,Wooden Case,wooden case,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4600-C,Inverter-EQ7-4600-C,Inverters,96,219,83,261.0000,429.0000,1.745,Wooden Case,wooden case,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4700-C,Inverter-EQ7-4700-C,Inverters,118,219,83,334.0000,560.0000,2.145,Wooden Case,wooden case,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4800-C,Inverter-EQ7-4800-C,Inverters,118,219,83,332.0000,561.0000,2.145,Wooden Case,wooden case,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
EQ7-4900-C,Inverter-EQ7-4900-C,Inverters,130,230,89,851.6400,855.5000,2.661,Wooden Case,,851.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN0001C2E-7E,Inverter-FRN0001C2E-7E,Inverters,11,19.5,15.5,0.9400,0.9400,0.003,Carton,,1,,,24,,,36,,,60,,,84,,,120,,,126,,,168,,,252,,,159,,,212,,,318,,,270,FALSE
FRN0001C2S-2A,Inverter-FRN0001C2S-2A,Inverters,11,19.5,15.5,0.6810,0.6810,0.003,Carton,9,0.8,,,24,,,36,,,60,,,84,,,120,,,126,,,168,,,252,,,159,,,212,,,318,,,270,FALSE
FRN0001C2S-2U,Inverter-FRN0001C2S-2U,Inverters,11,19.5,15.5,0.7150,0.7150,0.003,Carton,,1,,,24,,,36,,,60,,,84,,,120,,,126,,,168,,,252,,,159,,,212,,,318,,,270,FALSE
FRN0001C2S-6U,Inverter-FRN0001C2S-6U,Inverters,11,19.5,15.5,0.7850,0.7850,0.003,Carton,,0.6,,,24,,,36,,,60,,,84,,,120,,,126,,,168,,,252,,,159,,,212,,,318,,,270,FALSE
FRN0001C2S-7A,Inverter-FRN0001C2S-7A,Inverters,11,19.5,15.5,0.7320,0.7320,0.003,Carton,,1,,,24,,,36,,,60,,,84,,,120,,,126,,,168,,,252,,,159,,,212,,,318,,,270,FALSE
FRN0001C2S-7E,Inverter-FRN0001C2S-7E,Inverters,11,19.5,15.5,0.7500,0.7500,0.003,Carton,,0,,,24,,,36,,,60,,,84,,,120,,,126,,,168,,,252,,,159,,,212,,,318,,,270,FALSE
FRN0001C2S-7U,Inverter-FRN0001C2S-7U,Inverters,11,19.5,15.5,0.7520,0.7520,0.003,Carton,,0.9,,,24,,,36,,,60,,,84,,,120,,,126,,,168,,,252,,,159,,,212,,,318,,,270,FALSE
FRN0001E2E-2GA,Inverter-FRN0001E2E-2GA,Inverters,11,19.5,19,1.0700,1.0700,0.004,Carton,,,,,16,,,24,,,45,,,63,,,120,,,,,,126,,,210,,,,,,159,,,265,,,225,FALSE
