ratioStandard,ratioWarp,mode,product,transportMode,ratioBoxes,returnableTotal,totalPackages,shipment,cartonTotal,siQty,qty,ratioCarton,boxesTotal,packagingBreakdown.warpQty,packagingBreakdown.qty110x110x65,packagingBreakdown.qty110x110x115,packagingBreakdown.qty80x120x90,packagingBreakdown.qty70x100x90,packagingBreakdown.qty80x120x65,packagingBreakdown.qty53x53x58,packagingBreakdown.qty110x110x90,packagingBreakdown.qty80x120x115,packagingBreakdown.qty47x66x68,packagingBreakdown.unitQty,packagingBreakdown.qty42x46x68,packagingBreakdown.qty68x74x86,packagingBreakdown.returnableQty,packagingBreakdown.qty27x27x22,packagingBreakdown.qty57x64x84,packagingBreakdown.qty53x53x19,standardTotal,warpTotal,ratioReturnable,date,customerName,remark,consigneeName,__id,__path,__createTime,__updateTime
7,1.2,VESSEL,INVERTER,VESSEL,6.333333333333333,0,38,FAP,0,25,379,0,19,12,3,1,0,4,0,0,3,0,3,0,8,1,0,0,3,0,7,12,0,2024-07-04,FMT,,FAP,09LYK8MQrs06CoCM5xWA,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/09LYK8MQrs06CoCM5xWA,2026-03-06T02:44:38.646577Z,2026-03-06T09:16:35.654523Z
0,0.8,VESSEL,INVERTER,VESSEL,8,42,74,FEE,0,40,2646,0,24,8,0,0,0,5,0,0,0,0,1,0,9,6,42,0,3,0,0,8,21,2022-10-28,FMT,,FEE,09QEq5byt20Cih40J0Iy,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/09QEq5byt20Cih40J0Iy,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
0,0,AIRCRAFT,INVERTER,AIRCRAFT,4.333333333333333,0,13,FEID,0,13,76,0,13,0,0,0,0,1,0,0,0,0,6,0,3,2,0,0,1,0,0,0,0,2022-04-26,FMT,,FEID,0AkJsoNlOp7QHXOeS7ax,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0AkJsoNlOp7QHXOeS7ax,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
0,0,AIRCRAFT,INVERTER,AIRCRAFT,1,0,3,FEE,0,3,63,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2021-01-19,FMT,,FEE,0B2fmKdGqnfMA2wZw36E,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0B2fmKdGqnfMA2wZw36E,2026-03-06T02:44:18.832963Z,2026-03-06T09:16:35.654523Z
0,0,COURIER,TEMPERATURE CONTROL,COURIER,0,0,1,FEV,1,1,1,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021-05-17,FMT,,FEV,0C93gK4vv1BVr14yKEI3,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0C93gK4vv1BVr14yKEI3,2026-03-06T02:44:18.832963Z,2026-03-06T09:16:35.654523Z
0,0.7,AIRCRAFT,INVERTER,AIRCRAFT,0,0,7,FEA TWMC,0,1,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2023-12-18,FMT,,FEA TWMC,0CEMMfbTa1qkveunsiwb,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0CEMMfbTa1qkveunsiwb,2026-03-06T02:44:48.328492Z,2026-03-06T09:16:35.654523Z
0,2.1,VESSEL,INVERTER,VESSEL,0,0,21,FEE,0,4,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2021-04-01,FMT,,FEE,0Ct96lZzuYtQFrCykdEx,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0Ct96lZzuYtQFrCykdEx,2026-03-06T02:44:23.365298Z,2026-03-06T09:16:35.654523Z
44,12.9,VESSEL,INVERTER,VESSEL,0,0,173,FEA NJ,0,3,2299,0,0,129,0,0,2,0,0,0,0,42,0,0,0,0,0,0,0,0,44,129,0,2025-08-06,FMT,,FEA NJ,0DPA0GK9Uecs1nldd6UC,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0DPA0GK9Uecs1nldd6UC,2026-03-06T02:44:38.646577Z,2026-03-06T09:16:35.654523Z
1,0,VESSEL,INVERTER,VESSEL,0.3333333333333333,0,2,FEK,0,1,164,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2022-04-04,FMT,,FEK,0EZSLKm86eC01hM6dTMh,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0EZSLKm86eC01hM6dTMh,2026-03-06T02:44:35.130684Z,2026-03-06T09:16:35.654523Z
0,0.2,VESSEL,INVERTER,VESSEL,0,0,2,FEA NJ AID,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2024-02-07,FMT,,FEA NJ AID,0FByiwhNfJ855wNC6QZ5,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0FByiwhNfJ855wNC6QZ5,2026-03-06T02:44:35.130684Z,2026-03-06T09:16:35.654523Z
