gw,sideBoxWeight,height,updatedAt,length,productType,cbm,name,stackingLimit,lastUpdated,width,sku,nw,packingRules.boxes.47x66x68.perLayer,packingRules.boxes.47x66x68.layers,packingRules.boxes.47x66x68.totalQty,packingRules.boxes.57x64x84.layers,packingRules.boxes.57x64x84.perLayer,packingRules.boxes.57x64x84.totalQty,packingRules.boxes.70x100x90.perLayer,packingRules.boxes.70x100x90.layers,packingRules.boxes.70x100x90.totalQty,packingRules.boxes.68x74x86.layers,packingRules.boxes.68x74x86.perLayer,packingRules.boxes.68x74x86.totalQty,packingRules.rtn.totalQty,packingRules.rtn.perLayer,packingRules.rtn.layers,packingRules.pallets.80x120x115.layers,packingRules.pallets.80x120x115.perLayer,packingRules.pallets.80x120x115.totalQty,packingRules.pallets.80x120x90.perLayer,packingRules.pallets.80x120x90.layers,packingRules.pallets.80x120x90.totalQty,packingRules.pallets.110x110x90.totalQty,packingRules.pallets.110x110x90.perLayer,packingRules.pallets.110x110x90.layers,packingRules.pallets.110x110x115.totalQty,packingRules.pallets.110x110x115.layers,packingRules.pallets.110x110x115.perLayer,packingRules.warp,category,__id,__path,__createTime,__updateTime,packingRules.boxes.42x46x68.totalQty,packingRules.boxes.42x46x68.perLayer,packingRules.boxes.42x46x68.layers,packingRules.pallets.80x120x65.totalQty,packingRules.pallets.80x120x65.perLayer,packingRules.pallets.80x120x65.layers,packingRules.pallets.110x110x65.layers,packingRules.pallets.110x110x65.perLayer,packingRules.pallets.110x110x65.totalQty,unit
12.556,13,30,2026-02-03T15:16:34.088Z,47,Carton,0.046,Inverter-DT45LL1S-4AN,0,2026-02-03,32.5,DT45LL1S-4AN,12.556,0,0,1,0,0,2,0,0,8,0,0,4,18,0,0,0,0,15,0,0,10,12,0,0,18,0,0,False,Inverters,DT45LL1S-4AN,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT45LL1S-4AN,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
13.281,14,30,2026-02-03T15:16:34.088Z,47,Carton,0.046,Inverter-DT56LL1S-4A,6,2026-02-03,32.5,DT56LL1S-4A,13.281,0,0,1,0,0,2,0,0,8,0,0,4,18,0,0,0,0,15,0,0,10,12,0,0,18,0,0,False,Inverters,DT56LL1S-4A,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT56LL1S-4A,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
13.24,14 kg.,30,2026-02-11T15:15:19.819Z,47,Carton,0.046,Inverter-DT56LL1S-4AN,6,2026-02-11,32.5,DT56LL1S-4AN,13.24,1,1,1,2,1,2,4,2,8,2,2,4,18,6,3,3,5,15,5,2,10,12,6,2,18,3,6,False,Inverters,DT56LL1S-4AN,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT56LL1S-4AN,2026-02-03T15:16:38.401585Z,2026-02-11T15:15:19.856828Z,,,,,,,,,,
27,28,38,2026-02-03T15:16:34.088Z,70,Carton,0.112,Inverter-DT75LL1S-4A,0,2026-02-03,42,DT75LL1S-4A,27,,,,,,,0,0,3,0,0,1,4,0,0,0,0,4,,,,,,,4,0,0,False,Inverters,DT75LL1S-4A,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT75LL1S-4A,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
26.441,28,38,2026-02-03T15:16:34.088Z,70,Carton,0.112,Inverter-DT75LL1S-4AN,0,2026-02-03,42,DT75LL1S-4AN,26.441,,,,,,,0,0,3,0,0,1,4,0,0,0,0,4,,,,,,,4,0,0,False,Inverters,DT75LL1S-4AN,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT75LL1S-4AN,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
36.605,37,40,2026-02-03T15:16:34.088Z,76,Carton,0.14,Inverter-DT91LL1S-4A,0,2026-02-03,46,DT91LL1S-4A,36.605,,,,,,,0,0,1,,,,4,0,0,0,0,4,,,,,,,4,0,0,False,Inverters,DT91LL1S-4A,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT91LL1S-4A,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,2,0,0,0,0,2,
36.63,37,40,2026-02-03T15:16:34.088Z,76,Carton,0.14,Inverter-DT91LL1S-4AN,0,2026-02-03,46,DT91LL1S-4AN,36.63,,,,,,,0,0,1,,,,4,0,0,0,0,4,,,,,,,4,0,0,False,Inverters,DT91LL1S-4AN,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT91LL1S-4AN,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,2,0,0,0,0,2,
3.26,2.7,23,2026-02-03T15:16:34.088Z,31.5,Carton,0.014,Inverter-EQ7-2001-C,0,2026-02-03,19,EQ7-2001-C,3.26,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,False,Inverters,EQ7-2001-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2001-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
4.08,3.8,23.5,2026-02-03T15:16:34.088Z,33,Carton,0.018,Inverter-EQ7-2002-C,0,2026-02-03,23.5,EQ7-2002-C,4.08,0,0,4,0,0,6,0,0,27,0,0,18,0,0,0,0,0,40,,,,,,,,,,False,Inverters,EQ7-2002-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2002-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,2,0,0,,,,,,,
4.395,3.8,23.5,2026-02-03T15:16:34.088Z,33,Carton,0.018,Inverter-EQ7-2003-C,0,2026-02-03,23.5,EQ7-2003-C,4.395,0,0,4,0,0,6,0,0,27,0,0,18,0,0,0,0,0,40,,,,,,,,,,False,Inverters,EQ7-2003-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2003-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,2,0,0,,,,,,,
